customer_id,канал_привлечения,дата_регистрации,cac
C0001,реферальный,2024-04-12,555.59
C0002,органический,2024-12-14,144.64
C0003,реферальный,2024-09-27,461.09
C0004,социальные_сети,2024-04-16,180.88
C0005,реферальный,2024-03-12,183.73
C0006,платная_реклама,2024-07-07,551.87
C0007,реферальный,2024-01-21,255.8
C0008,платная_реклама,2024-04-12,840.74
C0009,платная_реклама,2024-05-01,857.97
C0010,социальные_сети,2024-08-02,469.42
C0011,платная_реклама,2024-11-26,770.02
C0012,социальные_сети,2024-03-28,563.33
C0013,социальные_сети,2024-04-09,599.99
C0014,органический,2024-12-25,133.67
C0015,органический,2024-05-31,181.91
C0016,органический,2024-05-10,196.52
C0017,органический,2024-05-29,224.27
C0018,органический,2024-11-04,161.37
C0019,реферальный,2024-09-14,342.86
C0020,органический,2024-12-09,201.5
C0021,платная_реклама,2024-10-20,659.11
C0022,email,2024-07-10,120.87
C0023,органический,2024-10-03,204.94
C0024,email,2024-06-09,144.79
C0025,органический,2024-11-09,225.02
C0026,органический,2024-01-22,147.34
C0027,реферальный,2024-09-09,321.95
C0028,реферальный,2024-08-23,331.66
C0029,email,2024-12-10,182.55
C0030,реферальный,2024-02-18,274.77
C0031,email,2024-02-28,159.39
C0032,органический,2024-06-18,212.64
C0033,органический,2024-07-06,282.32
C0034,email,2024-09-27,109.72
C0035,email,2024-07-08,123.71
C0036,социальные_сети,2024-06-23,387.52
C0037,платная_реклама,2024-02-20,466.04
C0038,платная_реклама,2024-12-29,1152.94
C0039,email,2024-02-24,100.34
C0040,платная_реклама,2024-08-31,636.74
C0041,социальные_сети,2024-11-15,657.89
C0042,email,2024-05-10,79.88
C0043,платная_реклама,2024-11-02,951.27
C0044,email,2024-05-14,93.48
C0045,email,2024-01-21,199.87
C0046,органический,2024-11-24,91.51
C0047,социальные_сети,2024-06-15,289.58
C0048,платная_реклама,2024-09-30,691.02
C0049,email,2024-03-29,188.87
C0050,платная_реклама,2024-11-11,793.81
C0051,email,2024-01-14,136.57
C0052,платная_реклама,2024-08-29,1069.21
C0053,органический,2024-09-21,307.76
C0054,социальные_сети,2024-12-11,580.67
C0055,органический,2024-02-22,168.86
C0056,платная_реклама,2024-12-05,716.37
C0057,социальные_сети,2024-04-01,345.39
C0058,социальные_сети,2024-09-20,512.1
C0059,реферальный,2024-02-04,219.63
C0060,реферальный,2024-07-24,394.15
C0061,платная_реклама,2024-03-21,1201.11
C0062,органический,2024-02-19,235.88
C0063,платная_реклама,2024-12-25,706.17
C0064,реферальный,2024-01-02,392.15
C0065,email,2024-02-23,214.82
C0066,email,2024-04-15,212.82
C0067,email,2024-09-16,109.85
C0068,органический,2024-11-05,225.51
C0069,платная_реклама,2024-07-09,768.38
C0070,органический,2024-08-05,240.33
C0071,платная_реклама,2024-02-13,876.72
C0072,платная_реклама,2024-06-10,326.06
C0073,email,2024-07-20,136.08
C0074,платная_реклама,2024-09-26,839.71
C0075,органический,2024-12-16,128.28
C0076,органический,2024-10-30,229.05
C0077,email,2024-09-27,89.04
C0078,реферальный,2024-08-02,286.12
C0079,органический,2024-09-08,267.07
C0080,органический,2024-07-08,155.81
C0081,реферальный,2024-10-22,395.92
C0082,органический,2024-07-31,112.32
C0083,email,2024-07-26,233.25
C0084,реферальный,2024-08-24,325.64
C0085,органический,2024-12-03,204.77
C0086,органический,2024-02-22,208.95
C0087,социальные_сети,2024-10-06,572.91
C0088,платная_реклама,2024-08-04,496.16
C0089,платная_реклама,2024-09-08,798.93
C0090,email,2024-07-06,123.65
C0091,социальные_сети,2024-02-10,297.25
C0092,социальные_сети,2024-06-05,618.45
C0093,email,2024-01-15,135.91
C0094,платная_реклама,2024-10-27,848.5
C0095,органический,2024-03-05,208.99
C0096,email,2024-12-10,136.61
C0097,реферальный,2024-11-22,508.0
C0098,платная_реклама,2024-01-09,790.55
C0099,социальные_сети,2024-12-09,313.05
C0100,органический,2024-05-08,179.98
C0101,платная_реклама,2024-05-15,899.95
C0102,органический,2024-03-03,226.63
C0103,платная_реклама,2024-05-18,582.44
C0104,органический,2024-03-21,246.47
C0105,органический,2024-06-11,111.86
C0106,органический,2024-10-15,257.21
C0107,реферальный,2024-09-17,244.45
C0108,реферальный,2024-08-18,331.9
C0109,реферальный,2024-02-10,435.17
C0110,социальные_сети,2024-01-28,514.35
