order_id,customer_id,дата_заказа,сумма_заказа,категория,статус
O00001,C0333,2024-02-21,854.14,одежда,отменён
O00002,C0477,2024-07-27,1318.21,продукты,выполнен
O00003,C0282,2024-02-07,634.63,спорт,выполнен
O00004,C0463,2024-04-09,612.58,электроника,выполнен
O00005,C0031,2024-07-11,460.76,спорт,отменён
O00006,C0209,2024-07-09,934.14,продукты,отменён
O00007,C0131,2024-02-20,1480.7,спорт,выполнен
O00008,C0358,2024-05-20,1172.34,книги,выполнен
O00009,C0489,2024-06-16,251.03,одежда,выполнен
O00010,C0130,2024-11-06,262.02,электроника,выполнен
O00011,C0330,2024-04-18,1608.27,спорт,выполнен
O00012,C0105,2024-07-25,766.06,красота,отменён
O00013,C0285,2024-10-26,790.38,продукты,выполнен
O00014,C0236,2024-04-19,776.26,книги,выполнен
O00015,C0484,2024-07-14,2700.82,дом_и_сад,выполнен
O00016,C0309,2024-05-31,465.43,продукты,выполнен
O00017,C0168,2024-08-30,1625.07,спорт,выполнен
O00018,C0060,2024-05-07,801.82,продукты,выполнен
O00019,C0078,2024-04-14,184.86,спорт,выполнен
O00020,C0118,2024-01-10,343.82,продукты,выполнен
O00021,C0127,2024-12-21,409.27,дом_и_сад,выполнен
O00022,C0417,2024-05-27,1594.77,продукты,выполнен
O00023,C0283,2024-12-30,1775.5,электроника,выполнен
O00024,C0263,2024-12-29,882.79,дом_и_сад,отменён
O00025,C0060,2024-05-19,437.81,дом_и_сад,отменён
O00026,C0424,2024-07-08,320.93,красота,выполнен
O00027,C0355,2024-04-03,1652.53,продукты,выполнен
O00028,C0035,2024-08-16,238.02,электроника,выполнен
O00029,C0347,2024-03-03,612.1,электроника,выполнен
O00030,C0271,2024-12-05,4409.77,дом_и_сад,возврат
O00031,C0041,2024-01-25,438.86,электроника,выполнен
O00032,C0232,2024-09-24,240.48,книги,выполнен
O00033,C0245,2024-10-07,162.01,одежда,выполнен
O00034,C0091,2024-01-11,4551.46,книги,выполнен
O00035,C0469,2024-11-15,879.1,дом_и_сад,выполнен
O00036,C0417,2024-07-19,331.87,книги,возврат
O00037,C0335,2024-05-05,571.74,одежда,возврат
O00038,C0236,2024-11-01,391.36,спорт,отменён
O00039,C0208,2024-07-08,149.78,электроника,выполнен
O00040,C0326,2024-03-29,1249.49,одежда,выполнен
O00041,C0273,2024-12-20,683.38,одежда,отменён
O00042,C0034,2024-04-25,1169.1,дом_и_сад,выполнен
O00043,C0257,2024-12-17,668.64,электроника,выполнен
O00044,C0395,2024-06-25,738.78,книги,выполнен
O00045,C0233,2024-01-14,111.29,электроника,выполнен
O00046,C0031,2024-09-13,1375.1,одежда,выполнен
O00047,C0386,2024-07-27,278.48,электроника,выполнен
O00048,C0105,2024-10-07,341.84,дом_и_сад,выполнен
O00049,C0130,2024-11-23,436.03,электроника,выполнен
O00050,C0091,2024-11-20,128.13,книги,возврат
O00051,C0163,2024-04-14,417.36,спорт,выполнен
O00052,C0371,2024-05-26,394.75,красота,возврат
O00053,C0261,2024-10-05,491.63,одежда,выполнен
O00054,C0107,2024-01-09,170.55,продукты,выполнен
O00055,C0435,2024-04-27,1397.12,дом_и_сад,возврат
O00056,C0436,2024-04-03,914.56,книги,выполнен
O00057,C0428,2024-05-23,333.21,продукты,выполнен
O00058,C0122,2024-10-15,417.7,книги,выполнен
O00059,C0226,2024-01-14,1300.52,электроника,выполнен
O00060,C0491,2024-09-13,541.33,дом_и_сад,выполнен
O00061,C0378,2024-12-11,246.55,одежда,выполнен
O00062,C0016,2024-07-04,622.12,электроника,выполнен
O00063,C0034,2024-12-10,278.59,продукты,выполнен
O00064,C0236,2024-07-25,377.55,книги,выполнен
O00065,C0447,2024-12-11,638.74,красота,возврат
O00066,C0268,2024-06-20,1547.15,продукты,отменён
O00067,C0253,2024-09-26,3356.52,книги,отменён
O00068,C0054,2024-08-08,1978.5,продукты,выполнен
O00069,C0330,2024-05-31,627.98,дом_и_сад,выполнен
O00070,C0402,2024-04-20,4047.6,электроника,возврат
O00071,C0188,2024-07-01,1039.63,спорт,отменён
O00072,C0381,2024-12-04,303.76,электроника,выполнен
O00073,C0478,2024-03-12,717.4,одежда,отменён
O00074,C0107,2024-10-09,393.26,спорт,отменён
O00075,C0263,2024-03-14,245.1,книги,отменён
O00076,C0146,2024-12-20,259.98,спорт,выполнен
O00077,C0389,2024-08-02,591.23,красота,выполнен
O00078,C0293,2024-11-23,1216.05,книги,возврат
O00079,C0319,2024-01-23,1563.31,электроника,отменён
O00080,C0393,2024-03-08,245.73,продукты,выполнен
O00081,C0197,2024-12-27,521.86,спорт,возврат
O00082,C0453,2024-04-02,981.69,красота,отменён
O00083,C0267,2024-11-16,751.06,красота,выполнен
O00084,C0085,2024-11-19,1159.38,дом_и_сад,выполнен
O00085,C0343,2024-03-03,469.77,спорт,выполнен
O00086,C0389,2024-08-11,1841.49,дом_и_сад,возврат
O00087,C0155,2024-08-12,662.89,одежда,выполнен
O00088,C0423,2024-12-11,1219.48,одежда,выполнен
O00089,C0445,2024-12-02,490.48,спорт,выполнен
O00090,C0143,2024-04-12,696.95,книги,выполнен
O00091,C0489,2024-08-02,185.52,красота,выполнен
O00092,C0073,2024-07-10,340.56,одежда,возврат
O00093,C0105,2024-06-08,563.42,дом_и_сад,отменён
O00094,C0098,2024-07-25,720.57,книги,отменён
O00095,C0440,2024-09-25,5681.45,спорт,выполнен
O00096,C0330,2024-07-12,490.04,одежда,выполнен
O00097,C0081,2024-05-31,221.12,спорт,выполнен
O00098,C0222,2024-08-24,2596.68,спорт,возврат
O00099,C0312,2024-03-28,1576.67,спорт,выполнен
O00100,C0042,2024-01-11,263.69,спорт,отменён
O00101,C0436,2024-07-05,965.08,книги,возврат
O00102,C0394,2024-08-01,1297.46,электроника,возврат
O00103,C0255,2024-01-15,758.29,одежда,выполнен
O00104,C0478,2024-09-22,863.21,спорт,возврат
O00105,C0209,2024-10-23,401.09,одежда,отменён
O00106,C0489,2024-03-13,995.29,красота,выполнен
O00107,C0334,2024-02-21,448.95,одежда,отменён
O00108,C0319,2024-05-07,100.0,продукты,выполнен
O00109,C0091,2024-01-28,778.22,книги,выполнен
O00110,C0436,2024-03-05,174.03,электроника,выполнен
O00111,C0213,2024-01-17,1496.37,книги,выполнен
O00112,C0089,2024-12-16,269.17,спорт,отменён
O00113,C0006,2024-05-17,100.0,электроника,выполнен
O00114,C0282,2024-11-14,161.51,книги,возврат
O00115,C0264,2024-08-16,643.43,электроника,выполнен
O00116,C0354,2024-09-10,772.17,продукты,отменён
O00117,C0437,2024-07-28,214.84,электроника,выполнен
O00118,C0041,2024-10-20,282.05,электроника,отменён
O00119,C0358,2024-08-18,660.86,книги,выполнен
O00120,C0099,2024-08-28,1447.77,дом_и_сад,возврат
O00121,C0424,2024-03-10,252.63,электроника,отменён
O00122,C0401,2024-04-13,900.85,спорт,выполнен
O00123,C0269,2024-07-22,165.51,дом_и_сад,выполнен
O00124,C0347,2024-02-22,856.38,книги,выполнен
O00125,C0154,2024-11-25,1217.6,продукты,возврат
O00126,C0238,2024-02-23,1011.68,книги,выполнен
O00127,C0402,2024-10-02,1473.68,продукты,выполнен
O00128,C0233,2024-11-30,1397.16,дом_и_сад,возврат
O00129,C0171,2024-01-31,2914.77,красота,выполнен
O00130,C0253,2024-05-14,725.52,одежда,выполнен
O00131,C0406,2024-02-27,2921.68,электроника,выполнен
O00132,C0164,2024-04-14,312.54,одежда,выполнен
O00133,C0094,2024-09-22,564.38,электроника,выполнен
O00134,C0351,2024-01-10,606.68,одежда,выполнен
O00135,C0406,2024-09-09,288.81,дом_и_сад,выполнен
O00136,C0052,2024-10-21,100.63,продукты,выполнен
O00137,C0123,2024-06-04,1333.34,одежда,отменён
O00138,C0073,2024-06-06,316.1,одежда,выполнен
O00139,C0168,2024-02-06,482.67,электроника,выполнен
O00140,C0224,2024-04-28,2362.95,продукты,выполнен
O00141,C0365,2024-03-07,1051.18,спорт,отменён
O00142,C0326,2024-08-29,2676.24,электроника,отменён
O00143,C0313,2024-10-25,732.47,красота,выполнен
O00144,C0170,2024-07-31,1037.32,продукты,отменён
O00145,C0414,2024-11-03,548.65,красота,выполнен
O00146,C0238,2024-04-10,337.32,электроника,выполнен
O00147,C0487,2024-02-25,1034.25,дом_и_сад,выполнен
O00148,C0317,2024-11-27,469.32,спорт,отменён
O00149,C0066,2024-11-19,1113.89,книги,отменён
O00150,C0336,2024-08-26,421.42,спорт,выполнен
O00151,C0161,2024-08-18,578.07,красота,выполнен
O00152,C0340,2024-12-27,616.32,спорт,выполнен
O00153,C0035,2024-04-01,1574.31,дом_и_сад,выполнен
O00154,C0094,2024-10-05,473.67,книги,выполнен
O00155,C0420,2024-04-18,1719.16,дом_и_сад,отменён
O00156,C0120,2024-11-12,322.5,продукты,выполнен
O00157,C0412,2024-06-16,825.41,одежда,выполнен
O00158,C0144,2024-10-26,383.72,книги,отменён
O00159,C0324,2024-08-05,1623.92,продукты,выполнен
O00160,C0342,2024-08-09,345.53,спорт,выполнен
O00161,C0257,2024-06-09,374.88,электроника,выполнен
O00162,C0152,2024-01-16,243.46,продукты,выполнен
O00163,C0113,2024-10-04,722.29,дом_и_сад,выполнен
O00164,C0022,2024-02-26,1067.25,спорт,выполнен
O00165,C0151,2024-03-02,978.97,продукты,выполнен
O00166,C0330,2024-12-28,592.65,одежда,выполнен
O00167,C0463,2024-11-22,392.12,одежда,выполнен
O00168,C0429,2024-08-29,532.22,дом_и_сад,выполнен
O00169,C0376,2024-03-30,548.71,одежда,выполнен
O00170,C0388,2024-03-12,814.1,спорт,отменён
O00171,C0334,2024-11-21,770.53,спорт,отменён
O00172,C0131,2024-01-30,2675.19,красота,отменён
O00173,C0446,2024-12-24,686.57,электроника,выполнен
O00174,C0335,2024-10-14,887.71,электроника,выполнен
O00175,C0282,2024-03-26,704.27,продукты,выполнен
O00176,C0059,2024-08-21,512.15,продукты,выполнен
O00177,C0223,2024-08-22,882.94,электроника,выполнен
O00178,C0236,2024-11-08,475.07,книги,выполнен
O00179,C0426,2024-12-30,634.87,продукты,выполнен
O00180,C0273,2024-09-21,1681.46,одежда,выполнен
O00181,C0188,2024-10-13,451.11,одежда,выполнен
O00182,C0487,2024-11-22,906.76,книги,выполнен
O00183,C0056,2024-09-25,100.0,электроника,отменён
O00184,C0210,2024-07-04,573.48,электроника,возврат
O00185,C0026,2024-05-10,448.68,одежда,отменён
O00186,C0363,2024-10-17,732.31,спорт,отменён
O00187,C0455,2024-10-03,550.6,книги,выполнен
O00188,C0144,2024-11-15,744.87,одежда,выполнен
O00189,C0424,2024-12-16,491.31,электроника,выполнен
O00190,C0147,2024-06-28,906.03,одежда,выполнен
O00191,C0448,2024-10-16,168.73,спорт,выполнен
O00192,C0370,2024-06-11,727.15,одежда,выполнен
O00193,C0394,2024-09-27,314.3,книги,возврат
O00194,C0010,2024-04-05,1693.06,электроника,выполнен
O00195,C0477,2024-09-18,310.27,электроника,выполнен
O00196,C0356,2024-12-30,1474.65,электроника,выполнен
O00197,C0151,2024-12-18,659.03,книги,выполнен
O00198,C0406,2024-10-14,154.01,спорт,выполнен
O00199,C0144,2024-03-23,329.96,красота,выполнен
O00200,C0431,2024-08-12,1310.6,одежда,отменён
O00201,C0059,2024-08-10,1252.39,одежда,выполнен
O00202,C0346,2024-04-27,235.22,спорт,возврат
O00203,C0269,2024-07-10,2322.23,спорт,отменён
O00204,C0048,2024-03-19,652.2,спорт,выполнен
O00205,C0123,2024-03-18,1350.02,одежда,отменён
O00206,C0006,2024-05-26,252.28,электроника,выполнен
O00207,C0237,2024-04-16,461.85,электроника,отменён
O00208,C0151,2024-09-27,927.71,спорт,возврат
