client_id,возраст,доход,образование,семейное_положение,месяцев_на_обслуживании,кредитный_лимит
1,56,48406,Среднее,Женат/Замужем,116,38000
2,69,76073,Высшее,Разведён/Разведена,15,29000
3,46,66661,Среднее специальное,Женат/Замужем,36,21000
4,32,15000,Магистратура,Женат/Замужем,47,6000
5,60,61979,Среднее специальное,Женат/Замужем,54,32000
6,25,34568,Высшее,Холост/Не замужем,86,13000
7,38,39818,Среднее,Женат/Замужем,32,17000
8,56,64925,Высшее,Вдовец/Вдова,58,25000
9,36,54262,Высшее,Разведён/Разведена,46,37000
10,40,49730,Среднее специальное,Разведён/Разведена,54,32000
11,28,32392,Высшее,Женат/Замужем,33,20000
12,28,47489,Среднее специальное,Разведён/Разведена,105,23000
13,41,49135,Высшее,Холост/Не замужем,39,37000
14,70,68139,Высшее,Холост/Не замужем,23,53000
15,53,38315,Высшее,Женат/Замужем,43,14000
16,57,37760,Магистратура,Женат/Замужем,55,15000
17,41,28431,Высшее,Холост/Не замужем,2,16000
18,20,35774,Высшее,Женат/Замужем,66,12000
19,39,45613,Среднее,Холост/Не замужем,38,23000
20,70,49395,Высшее,Женат/Замужем,119,29000
21,19,40488,Магистратура,Женат/Замужем,115,22000
22,41,69014,Среднее специальное,Женат/Замужем,29,32000
23,61,55422,Магистратура,Холост/Не замужем,116,31000
24,47,27085,Среднее специальное,Женат/Замужем,110,21000
25,55,48963,Магистратура,Женат/Замужем,67,19000
26,19,43616,Среднее,Женат/Замужем,103,27000
27,38,54227,Магистратура,Женат/Замужем,71,17000
28,50,41763,Высшее,Женат/Замужем,36,13000
29,29,61617,Среднее специальное,Вдовец/Вдова,29,35000
30,39,67024,Среднее специальное,Холост/Не замужем,119,23000
31,61,53404,Высшее,Женат/Замужем,37,16000
32,42,38050,Аспирантура,Женат/Замужем,113,14000
33,66,59507,Среднее специальное,Женат/Замужем,100,34000
34,44,43190,Среднее специальное,Холост/Не замужем,87,28000
35,59,77058,Высшее,Холост/Не замужем,45,30000
36,45,57979,Высшее,Холост/Не замужем,16,36000
37,33,55156,Высшее,Вдовец/Вдова,112,21000
38,32,51303,Высшее,Женат/Замужем,31,31000
39,64,92517,Среднее специальное,Женат/Замужем,34,46000
40,68,54109,Магистратура,Разведён/Разведена,50,33000
41,61,70105,Высшее,Холост/Не замужем,65,55000
42,72,40592,Среднее специальное,Разведён/Разведена,82,31000
43,69,51045,Высшее,Женат/Замужем,62,15000
44,74,73677,Высшее,Холост/Не замужем,104,54000
45,20,37873,Высшее,Разведён/Разведена,43,12000
46,54,57272,Высшее,Разведён/Разведена,56,44000
47,68,61492,Среднее специальное,Разведён/Разведена,120,27000
48,24,28958,Высшее,Холост/Не замужем,15,14000
49,38,66541,Магистратура,Вдовец/Вдова,48,23000
50,26,30639,Среднее специальное,Вдовец/Вдова,49,10000
51,56,86638,Высшее,Женат/Замужем,81,57000
52,35,55510,Магистратура,Холост/Не замужем,44,42000
53,21,39263,Аспирантура,Холост/Не замужем,10,23000
54,42,31296,Высшее,Вдовец/Вдова,20,20000
55,31,54428,Высшее,Женат/Замужем,70,37000
56,67,61793,Высшее,Женат/Замужем,8,26000
57,26,18483,Магистратура,Холост/Не замужем,45,5000
58,43,57692,Магистратура,Холост/Не замужем,34,17000
59,70,50780,Среднее специальное,Женат/Замужем,96,24000
60,19,19366,Высшее,Женат/Замужем,51,8000
61,37,45048,Высшее,Вдовец/Вдова,118,14000
62,45,84876,Магистратура,Женат/Замужем,106,33000
63,64,56496,Высшее,Женат/Замужем,4,20000
64,24,27926,Высшее,Холост/Не замужем,108,21000
65,61,75385,Аспирантура,Холост/Не замужем,114,27000
66,25,17025,Среднее,Женат/Замужем,39,9000
67,64,73442,Среднее специальное,Холост/Не замужем,84,43000
68,52,75288,Высшее,Холост/Не замужем,24,43000
69,31,35793,Высшее,Вдовец/Вдова,88,12000
70,34,58192,Среднее,Женат/Замужем,55,26000
71,53,62371,Среднее,Холост/Не замужем,26,20000
72,67,58239,Высшее,Холост/Не замужем,25,28000
73,57,58232,Магистратура,Холост/Не замужем,36,22000
74,21,26703,Высшее,Вдовец/Вдова,71,15000
75,19,29485,Высшее,Холост/Не замужем,74,19000
76,23,36290,Среднее специальное,Холост/Не замужем,58,20000
77,71,81222,Магистратура,Женат/Замужем,111,42000
78,59,70430,Магистратура,Холост/Не замужем,12,34000
79,21,15000,Высшее,Холост/Не замужем,1,10000
80,71,70940,Среднее специальное,Холост/Не замужем,116,29000
81,46,29758,Среднее,Холост/Не замужем,50,19000
82,35,39464,Среднее,Холост/Не замужем,25,26000
83,43,48143,Высшее,Холост/Не замужем,80,24000
84,61,79042,Магистратура,Разведён/Разведена,5,35000
85,51,55948,Магистратура,Холост/Не замужем,83,29000
86,27,41088,Высшее,Женат/Замужем,68,14000
87,53,69895,Магистратура,Женат/Замужем,6,22000
88,31,58816,Магистратура,Женат/Замужем,26,20000
89,48,52154,Среднее специальное,Холост/Не замужем,113,20000
90,65,69012,Высшее,Холост/Не замужем,103,38000
91,32,41350,Магистратура,Женат/Замужем,120,29000
92,25,27461,Высшее,Женат/Замужем,55,11000
93,31,28863,Магистратура,Женат/Замужем,39,22000
94,40,15000,Аспирантура,Холост/Не замужем,9,11000
95,74,58650,Высшее,Разведён/Разведена,45,45000
96,57,34520,Магистратура,Холост/Не замужем,116,24000
97,38,64827,Высшее,Женат/Замужем,14,31000
98,33,44826,Высшее,Женат/Замужем,112,15000
99,62,63310,Высшее,Холост/Не замужем,55,36000
100,35,32837,Среднее,Женат/Замужем,9,19000
101,64,67246,Высшее,Женат/Замужем,15,48000
102,70,58880,Высшее,Разведён/Разведена,37,46000
103,41,51010,Среднее специальное,Разведён/Разведена,50,28000
104,43,53686,Среднее,Женат/Замужем,117,25000
105,42,36279,Среднее специальное,Женат/Замужем,84,14000
106,62,51993,Высшее,Холост/Не замужем,72,15000
107,58,76432,Аспирантура,Женат/Замужем,96,42000
108,46,51607,Аспирантура,Холост/Не замужем,111,29000
109,32,29484,Высшее,Женат/Замужем,21,21000
110,62,59642,Магистратура,Холост/Не замужем,57,32000
111,18,15000,Высшее,Женат/Замужем,105,11000
112,42,48192,Высшее,Женат/Замужем,19,29000
113,24,47274,Высшее,Разведён/Разведена,93,34000
114,26,35984,Среднее специальное,Женат/Замужем,58,13000
115,41,83854,Магистратура,Вдовец/Вдова,95,61000
116,18,36320,Высшее,Женат/Замужем,118,23000
117,61,67849,Высшее,Женат/Замужем,6,26000
118,25,21975,Высшее,Женат/Замужем,4,8000
119,41,44821,Высшее,Холост/Не замужем,43,34000
120,28,26314,Среднее специальное,Разведён/Разведена,93,8000
121,68,37515,Высшее,Женат/Замужем,42,19000
122,34,57413,Среднее,Вдовец/Вдова,3,26000
123,25,27928,Высшее,Женат/Замужем,1,17000
124,52,45793,Высшее,Разведён/Разведена,108,32000
125,52,60358,Высшее,Женат/Замужем,55,28000
126,50,63287,Высшее,Холост/Не замужем,15,32000
127,22,28388,Высшее,Холост/Не замужем,47,22000
128,59,62760,Высшее,Женат/Замужем,85,43000
129,56,71592,Высшее,Женат/Замужем,46,53000
130,58,56597,Магистратура,Холост/Не замужем,58,29000
131,45,56135,Высшее,Разведён/Разведена,95,23000
132,24,15000,Магистратура,Женат/Замужем,71,7000
133,26,17780,Среднее специальное,Вдовец/Вдова,81,11000
134,25,44683,Высшее,Разведён/Разведена,120,15000
135,29,19396,Магистратура,Женат/Замужем,83,8000
136,51,59912,Высшее,Разведён/Разведена,39,19000
137,50,53395,Среднее специальное,Женат/Замужем,3,27000
138,65,62132,Высшее,Разведён/Разведена,30,44000
139,72,60773,Среднее специальное,Женат/Замужем,35,18000
140,40,61240,Среднее специальное,Женат/Замужем,57,39000
141,41,74348,Аспирантура,Женат/Замужем,29,56000
142,54,63302,Высшее,Женат/Замужем,50,26000
143,52,62037,Среднее специальное,Женат/Замужем,62,40000
144,61,54165,Аспирантура,Женат/Замужем,52,42000
145,57,43258,Аспирантура,Холост/Не замужем,118,33000
146,39,46203,Высшее,Разведён/Разведена,14,19000
147,44,36193,Среднее специальное,Женат/Замужем,35,12000
148,52,30610,Магистратура,Женат/Замужем,28,11000
149,18,42051,Высшее,Женат/Замужем,58,27000
150,52,69982,Высшее,Женат/Замужем,30,46000
151,54,45917,Магистратура,Вдовец/Вдова,90,29000
152,64,70459,Высшее,Женат/Замужем,7,32000
153,31,55429,Среднее специальное,Холост/Не замужем,39,21000
154,20,34675,Высшее,Женат/Замужем,95,20000
155,18,15000,Высшее,Женат/Замужем,69,8000
156,22,29706,Магистратура,Разведён/Разведена,35,19000
157,43,69902,Высшее,Женат/Замужем,114,36000
158,72,76905,Среднее,Вдовец/Вдова,111,36000
159,31,48486,Высшее,Женат/Замужем,52,21000
160,56,65524,Высшее,Вдовец/Вдова,14,26000
161,44,37967,Высшее,Холост/Не замужем,63,16000
162,26,27087,Высшее,Разведён/Разведена,36,9000
163,32,46282,Высшее,Разведён/Разведена,91,21000
164,32,53453,Магистратура,Вдовец/Вдова,24,17000
165,43,66498,Среднее,Холост/Не замужем,40,26000
166,59,49928,Высшее,Холост/Не замужем,29,33000
167,30,46096,Магистратура,Женат/Замужем,53,21000
168,68,87805,Высшее,Холост/Не замужем,109,55000
169,49,39993,Высшее,Холост/Не замужем,22,26000
170,56,82701,Аспирантура,Холост/Не замужем,72,48000
171,66,92984,Среднее специальное,Женат/Замужем,15,72000
172,69,110176,Среднее,Женат/Замужем,113,34000
173,49,58264,Высшее,Холост/Не замужем,69,38000
174,21,35946,Среднее,Холост/Не замужем,116,28000
175,47,65604,Аспирантура,Женат/Замужем,64,47000
176,54,70767,Среднее специальное,Женат/Замужем,4,27000
177,40,64495,Магистратура,Холост/Не замужем,75,29000
178,56,72160,Магистратура,Женат/Замужем,18,27000
179,62,63609,Среднее специальное,Разведён/Разведена,42,38000
180,32,59529,Высшее,Вдовец/Вдова,113,39000
181,60,47531,Среднее,Вдовец/Вдова,30,21000
182,46,52487,Высшее,Разведён/Разведена,15,29000
183,53,81456,Среднее,Женат/Замужем,70,52000
184,30,20846,Магистратура,Женат/Замужем,55,10000
185,49,44637,Аспирантура,Женат/Замужем,53,32000
186,24,44876,Среднее специальное,Женат/Замужем,16,30000
187,68,75908,Среднее специальное,Холост/Не замужем,111,25000
188,39,33674,Магистратура,Женат/Замужем,104,20000
189,45,45357,Среднее специальное,Женат/Замужем,73,18000
190,19,15000,Магистратура,Холост/Не замужем,107,8000
191,59,77507,Высшее,Женат/Замужем,34,60000
192,62,61361,Высшее,Холост/Не замужем,27,45000
193,74,101682,Магистратура,Холост/Не замужем,13,51000
194,70,72816,Высшее,Холост/Не замужем,100,32000
195,23,30703,Магистратура,Женат/Замужем,27,12000
196,45,46847,Магистратура,Холост/Не замужем,73,26000
197,45,47937,Среднее специальное,Разведён/Разведена,69,17000
198,61,66062,Среднее,Женат/Замужем,115,37000
199,61,102086,Аспирантура,Женат/Замужем,86,30000
200,37,40117,Магистратура,Холост/Не замужем,31,18000
201,47,48604,Среднее,Женат/Замужем,3,19000
202,28,38983,Магистратура,Женат/Замужем,30,30000
203,72,89554,Высшее,Женат/Замужем,21,59000
204,45,30285,Среднее специальное,Женат/Замужем,99,14000
205,42,56026,Магистратура,Разведён/Разведена,6,19000
206,56,48138,Среднее специальное,Разведён/Разведена,92,26000
207,50,63899,Магистратура,Женат/Замужем,32,25000
208,18,22593,Среднее специальное,Холост/Не замужем,42,12000
209,74,40238,Высшее,Женат/Замужем,101,28000
210,44,56343,Среднее специальное,Женат/Замужем,62,34000
211,74,80217,Высшее,Женат/Замужем,89,49000
212,69,62113,Высшее,Разведён/Разведена,32,35000
213,30,30024,Среднее специальное,Женат/Замужем,99,22000
214,58,42329,Высшее,Разведён/Разведена,86,32000
215,20,43196,Высшее,Холост/Не замужем,88,24000
216,56,73633,Среднее,Холост/Не замужем,39,33000
217,23,20814,Магистратура,Холост/Не замужем,64,11000
218,25,27500,Высшее,Разведён/Разведена,118,10000
219,44,49850,Высшее,Разведён/Разведена,30,30000
220,26,70462,Высшее,Женат/Замужем,63,38000
