transaction_id,client_id,месяц,сумма,категория
1,1,1,2502.26,Развлечения
2,1,1,2855.47,Одежда
3,1,1,2915.62,Продукты
4,1,1,2535.69,Рестораны
5,1,1,2333.85,Рестораны
6,1,1,2680.36,Рестораны
7,1,2,26342.5,Образование
8,1,2,4878.06,Коммунальные услуги
9,1,2,3161.1,Образование
10,1,2,15770.2,Путешествия
11,1,2,5553.53,Коммунальные услуги
12,1,2,2103.29,Продукты
13,1,2,11664.08,Образование
14,1,3,5794.12,Рестораны
15,1,3,1201.87,Развлечения
16,1,3,2618.19,Продукты
17,1,3,4878.73,Рестораны
18,1,3,12262.97,Путешествия
19,1,3,12770.41,Путешествия
20,1,3,1939.82,Здоровье
21,1,4,6560.87,Здоровье
22,1,4,856.81,Транспорт
23,1,4,3192.34,Развлечения
24,1,4,10953.01,Образование
25,1,4,1381.5,Транспорт
26,1,5,4755.67,Коммунальные услуги
27,1,5,24779.05,Путешествия
28,1,5,27056.11,Путешествия
29,1,5,6590.73,Продукты
30,1,5,10874.44,Одежда
31,1,5,7289.75,Одежда
32,1,6,28853.2,Путешествия
33,1,6,4143.13,Продукты
34,1,6,5177.41,Рестораны
35,1,6,3253.31,Рестораны
36,1,6,5973.08,Коммунальные услуги
37,1,6,2912.88,Продукты
38,1,7,4022.94,Продукты
39,1,7,13694.78,Коммунальные услуги
40,1,7,2487.86,Развлечения
41,1,7,15202.7,Путешествия
42,1,8,3225.83,Рестораны
43,1,8,1771.63,Транспорт
44,1,8,2933.38,Продукты
45,1,8,3241.45,Прочее
46,1,8,3849.92,Продукты
47,1,9,2257.55,Транспорт
48,1,9,26524.5,Путешествия
49,1,9,6177.74,Одежда
50,1,9,2239.35,Развлечения
51,1,9,1706.54,Продукты
52,1,9,12408.33,Одежда
53,1,9,2540.74,Здоровье
54,1,9,22824.3,Путешествия
55,1,9,3240.0,Прочее
56,1,9,3625.88,Продукты
57,1,10,4441.21,Рестораны
58,1,10,38577.44,Путешествия
59,1,10,1001.75,Транспорт
60,1,10,9613.31,Рестораны
61,1,10,10877.6,Путешествия
62,1,11,6346.74,Рестораны
63,1,11,849.57,Продукты
64,1,11,8240.47,Одежда
65,1,11,7089.68,Рестораны
66,1,11,13259.29,Образование
67,1,12,47675.66,Путешествия
68,1,12,8527.63,Коммунальные услуги
69,1,12,23861.48,Путешествия
70,1,12,4857.3,Рестораны
71,1,12,4644.17,Развлечения
72,2,1,5740.08,Развлечения
73,2,1,4721.91,Продукты
74,2,1,3947.49,Продукты
75,2,1,9096.68,Коммунальные услуги
76,2,2,6340.48,Здоровье
77,2,2,2468.73,Транспорт
78,2,2,28717.1,Путешествия
79,2,2,4095.1,Рестораны
80,2,2,3597.68,Развлечения
81,2,3,17643.17,Продукты
82,2,3,3177.08,Коммунальные услуги
83,2,3,6089.03,Продукты
84,2,3,12730.36,Развлечения
85,2,4,2910.77,Продукты
86,2,4,18321.64,Путешествия
87,2,4,3402.86,Продукты
88,2,4,694.68,Транспорт
89,2,5,7071.22,Продукты
90,2,5,5648.18,Рестораны
91,2,5,51070.09,Путешествия
92,2,5,5423.81,Развлечения
93,2,5,2642.08,Транспорт
94,2,5,12269.97,Одежда
95,2,5,3135.67,Рестораны
96,2,5,8600.45,Рестораны
97,2,5,84966.2,Путешествия
98,2,6,35386.52,Путешествия
99,2,6,52875.87,Путешествия
100,2,6,4494.36,Транспорт
101,2,6,1802.5,Транспорт
102,2,6,24797.58,Путешествия
103,2,6,7706.62,Продукты
104,2,6,3809.34,Продукты
105,2,6,2935.26,Продукты
106,2,7,6625.43,Продукты
107,2,7,3288.08,Транспорт
108,2,7,3869.53,Рестораны
109,2,7,2420.51,Рестораны
110,2,7,3293.6,Транспорт
111,2,8,7019.83,Развлечения
112,2,8,3361.24,Продукты
113,2,8,5453.63,Транспорт
114,2,8,4087.61,Коммунальные услуги
115,2,9,1836.33,Транспорт
116,2,9,2182.16,Транспорт
117,2,9,4709.86,Рестораны
118,2,9,10720.04,Образование
119,2,10,12263.36,Продукты
120,2,10,2323.41,Развлечения
121,2,10,8528.13,Образование
122,2,10,30672.38,Коммунальные услуги
123,2,10,41174.56,Путешествия
124,2,10,4753.03,Развлечения
125,2,10,2373.83,Развлечения
126,2,11,6918.51,Транспорт
127,2,11,69223.35,Путешествия
128,2,11,3254.52,Развлечения
129,2,11,35738.64,Путешествия
130,2,11,4431.39,Продукты
131,2,11,2217.26,Развлечения
132,2,11,6309.9,Коммунальные услуги
133,2,11,13720.55,Коммунальные услуги
134,2,11,1881.35,Развлечения
135,2,12,10424.72,Одежда
136,2,12,35009.71,Образование
137,3,1,6616.78,Прочее
138,3,1,5139.54,Продукты
139,3,1,4277.14,Развлечения
140,3,1,73734.56,Путешествия
141,3,1,9760.3,Здоровье
142,3,1,3391.71,Продукты
143,3,1,4930.97,Рестораны
144,3,1,1889.38,Транспорт
145,3,1,3904.69,Здоровье
146,3,2,6162.84,Транспорт
147,3,2,9807.1,Одежда
148,3,2,4164.28,Продукты
149,3,2,3699.26,Развлечения
150,3,2,2572.68,Рестораны
151,3,3,3449.69,Продукты
152,3,3,6553.56,Коммунальные услуги
153,3,3,2993.48,Развлечения
154,3,3,26544.78,Образование
155,3,4,18391.13,Путешествия
156,3,4,2304.58,Транспорт
157,3,4,5925.56,Развлечения
158,3,4,22776.49,Путешествия
159,3,4,5188.12,Рестораны
160,3,4,6428.86,Развлечения
161,3,5,5539.03,Продукты
162,3,5,13023.62,Образование
163,3,5,3306.12,Развлечения
164,3,5,4113.94,Продукты
165,3,5,3025.39,Продукты
166,3,6,5787.88,Прочее
167,3,6,4957.68,Одежда
168,3,6,74878.9,Путешествия
169,3,6,5039.78,Рестораны
170,3,6,5827.34,Коммунальные услуги
171,3,6,18555.71,Путешествия
172,3,6,3491.34,Рестораны
173,3,6,2613.26,Развлечения
174,3,6,133395.9,Путешествия
175,3,7,12846.31,Здоровье
176,3,7,5259.82,Продукты
177,3,7,7268.54,Коммунальные услуги
178,3,7,2761.42,Транспорт
179,3,7,8962.17,Одежда
180,3,7,4983.63,Образование
181,3,7,6503.48,Коммунальные услуги
182,3,7,5991.61,Рестораны
183,3,8,4438.64,Продукты
184,3,8,7264.9,Развлечения
185,3,8,5932.2,Продукты
186,3,8,3013.0,Здоровье
187,3,8,65844.98,Образование
188,3,8,5916.96,Здоровье
189,3,8,5530.02,Развлечения
190,3,8,9512.27,Одежда
191,3,9,3159.67,Здоровье
192,3,9,2918.55,Транспорт
193,3,9,17328.9,Путешествия
194,3,9,36482.39,Образование
195,3,9,2430.83,Развлечения
196,3,9,7033.94,Коммунальные услуги
197,3,10,16336.37,Одежда
198,3,10,15490.07,Образование
199,3,10,35184.75,Путешествия
200,3,10,5509.51,Транспорт
201,3,10,26779.11,Путешествия
202,3,11,44311.55,Путешествия
203,3,11,14717.17,Образование
204,3,11,5361.63,Продукты
205,3,11,4249.04,Коммунальные услуги
206,3,11,7639.33,Продукты
207,3,11,4277.53,Продукты
208,3,11,46144.49,Путешествия
209,3,12,5345.69,Рестораны
210,3,12,4059.62,Здоровье
211,3,12,1991.39,Продукты
212,3,12,4364.19,Продукты
213,3,12,3787.67,Развлечения
214,3,12,2790.13,Продукты
215,3,12,12250.99,Продукты
216,3,12,7447.28,Продукты
217,3,12,4502.98,Развлечения
218,3,12,5993.07,Продукты
219,3,12,26263.6,Путешествия
220,3,12,6065.07,Здоровье
221,3,12,16185.99,Образование
222,4,1,9123.06,Образование
223,4,1,2460.91,Продукты
224,4,1,16817.72,Путешествия
225,4,1,1980.91,Прочее
226,4,1,1964.6,Транспорт
227,4,1,2295.19,Рестораны
228,4,2,7170.26,Путешествия
229,4,2,16827.88,Путешествия
230,4,2,29238.66,Путешествия
231,4,2,1088.5,Продукты
232,4,3,1625.26,Развлечения
233,4,3,1336.51,Транспорт
234,4,3,3635.76,Рестораны
235,4,3,3734.89,Рестораны
236,4,4,10707.6,Здоровье
237,4,5,1979.59,Рестораны
238,4,5,1018.39,Транспорт
239,4,6,9793.59,Образование
240,4,6,2476.36,Продукты
241,4,6,522.52,Продукты
242,4,6,2058.62,Рестораны
243,4,7,3004.16,Коммунальные услуги
244,4,7,1565.85,Продукты
245,4,7,2447.11,Одежда
246,4,7,3735.59,Продукты
247,4,7,2084.7,Продукты
248,4,7,1568.51,Рестораны
249,4,8,1481.96,Рестораны
250,4,8,2174.53,Продукты
251,4,8,9330.77,Образование
252,4,8,2144.58,Продукты
253,4,9,4535.98,Продукты
254,4,9,6878.06,Одежда
255,4,9,21137.84,Путешествия
256,4,9,3101.93,Развлечения
257,4,10,3915.93,Здоровье
258,4,10,2473.96,Продукты
259,4,10,19454.94,Путешествия
260,4,11,2609.66,Рестораны
261,4,11,1344.75,Продукты
262,4,11,4783.85,Образование
263,4,11,3800.7,Коммунальные услуги
264,4,11,1325.63,Развлечения
265,4,12,3678.34,Развлечения
266,4,12,3761.08,Продукты
267,5,1,5778.33,Рестораны
268,5,1,6850.39,Одежда
269,5,1,4364.99,Рестораны
270,5,1,1540.14,Продукты
271,5,1,13684.87,Одежда
272,5,1,4497.42,Здоровье
273,5,1,30779.25,Путешествия
274,5,1,809.41,Транспорт
275,5,1,4897.82,Рестораны
276,5,1,10202.67,Здоровье
277,5,1,4533.85,Продукты
278,5,1,12433.45,Развлечения
279,5,1,3136.69,Продукты
280,5,2,4407.13,Продукты
281,5,2,2550.69,Продукты
282,5,2,2270.57,Транспорт
283,5,2,5525.96,Коммунальные услуги
284,5,2,5578.15,Рестораны
285,5,2,31891.68,Путешествия
286,5,3,7573.65,Продукты
