campaign_id,канал,бюджет,показы,клики,конверсии,выручка,дата_начала
CAMP_0001,Email,4498.63,599623,31073,5447,6796.29,2024-01-01
CAMP_0002,TikTok,9131.89,821419,54635,2164,8012.0,2024-01-02
CAMP_0003,Instagram,9169.13,1533724,93127,2344,8677.13,2024-01-04
CAMP_0004,TikTok,2015.12,180590,6681,408,1953.88,2024-01-06
CAMP_0005,TikTok,8175.53,602697,44286,2230,8333.44,2024-01-08
CAMP_0006,Facebook,11190.17,1030615,39790,3273,12861.08,2024-01-10
CAMP_0007,Instagram,7847.03,750469,47364,4118,9324.22,2024-01-12
CAMP_0008,Instagram,8297.49,1013154,44655,3492,10184.67,2024-01-13
CAMP_0009,Instagram,13332.04,967862,54708,5813,15924.38,2024-01-15
CAMP_0010,TikTok,9655.21,738824,31694,2205,9342.37,2024-01-17
CAMP_0011,Email,3996.2,279306,18607,2523,6453.12,2024-01-19
CAMP_0012,Instagram,8572.3,611192,27269,3166,9456.53,2024-01-21
CAMP_0013,TikTok,7282.33,1425565,83452,6382,6776.05,2024-01-23
CAMP_0014,Facebook,19649.27,2071734,100794,6035,17053.05,2024-01-24
CAMP_0015,Email,6156.02,477351,29438,4114,8097.7,2024-01-26
CAMP_0016,Facebook,3639.93,262298,14611,927,3646.45,2024-01-28
CAMP_0017,Email,5920.76,984950,67546,9787,8134.88,2024-01-30
CAMP_0018,TikTok,9677.33,1664633,97756,4011,7150.39,2024-02-01
CAMP_0019,Google Ads,11678.86,2001516,117291,12458,17183.15,2024-02-03
CAMP_0020,Email,4546.51,469360,25793,3777,6028.29,2024-02-04
CAMP_0021,Facebook,13970.75,1596892,62101,5825,13828.48,2024-02-06
CAMP_0022,TikTok,8208.96,549842,32899,2367,6846.67,2024-02-08
CAMP_0023,Email,8413.64,703629,41557,7607,11231.35,2024-02-10
CAMP_0024,Google Ads,14445.34,1289609,70622,5876,16757.91,2024-02-12
CAMP_0025,Google Ads,20163.0,3490010,93876,10029,30878.14,2024-02-14
CAMP_0026,Instagram,11999.72,1810958,93636,5954,16496.24,2024-02-15
CAMP_0027,Instagram,9742.36,743377,29123,1623,12695.08,2024-02-17
CAMP_0028,Facebook,13102.54,1352599,55168,2654,12579.67,2024-02-19
CAMP_0029,Email,5389.08,359339,20850,2921,7852.15,2024-02-21
CAMP_0030,Email,4530.46,720082,28089,4000,6918.77,2024-02-23
CAMP_0031,Instagram,13711.56,1597781,91734,8865,13543.28,2024-02-25
CAMP_0032,Email,5172.29,382514,26972,4887,8861.69,2024-02-26
CAMP_0033,Email,3469.43,656115,34320,5247,5742.92,2024-02-28
CAMP_0034,Google Ads,12831.75,2493806,103684,12563,12654.53,2024-03-01
CAMP_0035,Instagram,13101.22,1544490,62751,7533,14556.95,2024-03-03
CAMP_0036,TikTok,10944.64,755052,40249,1446,10306.22,2024-03-05
CAMP_0037,Instagram,9978.3,1204016,55422,3542,11978.46,2024-03-07
CAMP_0038,TikTok,4696.24,555330,30474,2094,5134.27,2024-03-08
CAMP_0039,Google Ads,12766.58,2360385,94989,8491,14439.89,2024-03-10
CAMP_0040,Facebook,6263.64,724732,26151,3119,15199.01,2024-03-12
CAMP_0041,Email,3950.41,287599,16433,2580,5360.49,2024-03-14
CAMP_0042,Google Ads,12347.49,1418482,55663,8209,14858.87,2024-03-16
CAMP_0043,Email,7467.45,1391407,73062,11472,9721.2,2024-03-18
CAMP_0044,Facebook,24315.52,4004717,197015,21765,16570.74,2024-03-19
CAMP_0045,Facebook,8974.6,1725647,41031,2411,8542.42,2024-03-21
CAMP_0046,Google Ads,23435.71,1817889,97832,8073,29283.05,2024-03-23
CAMP_0047,Facebook,18092.5,1941964,84260,6086,17183.16,2024-03-25
CAMP_0048,TikTok,10778.53,1259032,86991,6137,10445.53,2024-03-27
CAMP_0049,Facebook,9397.43,1368756,45345,2876,9098.82,2024-03-29
CAMP_0050,Email,5072.78,557205,26016,3845,7290.93,2024-03-30
CAMP_0051,Email,4134.84,616324,38553,5804,6124.22,2024-04-01
CAMP_0052,Email,2495.89,196605,11881,1529,3243.89,2024-04-03
CAMP_0053,Email,2558.69,416156,23088,2528,4016.27,2024-04-05
CAMP_0054,TikTok,7801.76,755553,28627,1918,6934.84,2024-04-07
CAMP_0055,Instagram,13522.02,1791849,64920,7279,16439.34,2024-04-09
CAMP_0056,Google Ads,2641.78,311211,11524,1191,3337.65,2024-04-10
CAMP_0057,Email,5129.88,477432,25515,3510,7525.85,2024-04-12
CAMP_0058,Facebook,10049.58,1512884,50945,4629,12112.13,2024-04-14
CAMP_0059,Email,6306.69,706675,36563,4935,10375.5,2024-04-16
CAMP_0060,Facebook,4516.83,362038,12484,604,4753.55,2024-04-18
CAMP_0061,Facebook,15317.62,1089081,17304,1078,16742.79,2024-04-20
CAMP_0062,Email,2782.12,435201,28913,4342,4554.61,2024-04-21
CAMP_0063,TikTok,8545.6,1311328,68821,3315,7071.05,2024-04-23
CAMP_0064,Facebook,12286.26,973201,32333,2361,14428.63,2024-04-25
CAMP_0065,Facebook,10920.5,841789,23748,1696,10561.25,2024-04-27
CAMP_0066,Email,6304.41,528030,36199,3886,9407.09,2024-04-29
CAMP_0067,Facebook,4885.12,507805,26893,2248,7066.5,2024-05-01
CAMP_0068,Facebook,12437.58,1039365,47039,3967,13884.29,2024-05-02
CAMP_0069,Email,7823.04,846529,57948,8325,11460.86,2024-05-04
CAMP_0070,Email,3515.59,236765,12724,2427,5373.91,2024-05-06
CAMP_0071,Google Ads,14209.96,1090679,44424,5199,12815.81,2024-05-08
CAMP_0072,TikTok,4130.12,333746,12365,493,3762.08,2024-05-10
CAMP_0073,TikTok,7262.77,727464,34389,2960,6728.36,2024-05-12
CAMP_0074,Facebook,19395.82,3780166,186232,11109,21868.8,2024-05-13
CAMP_0075,TikTok,7193.33,1228895,47846,3349,7004.43,2024-05-15
CAMP_0076,Facebook,12055.72,1698214,64122,4982,12938.86,2024-05-17
CAMP_0077,Google Ads,14836.23,1393281,55126,7043,12627.08,2024-05-19
CAMP_0078,Email,6869.13,1048337,35922,5237,9697.68,2024-05-21
CAMP_0079,Email,2888.73,252511,11924,1583,4158.51,2024-05-23
CAMP_0080,Email,6403.52,1214867,82265,10358,8585.53,2024-05-24
CAMP_0081,TikTok,6426.44,557489,30602,1927,5884.16,2024-05-26
CAMP_0082,Google Ads,18554.8,1394867,68965,9167,20390.55,2024-05-28
CAMP_0083,TikTok,9779.3,1906289,89413,3272,11878.95,2024-05-30
CAMP_0084,TikTok,6431.83,846936,51231,4934,4418.89,2024-06-01
CAMP_0085,Google Ads,8597.85,817249,51117,3319,10044.54,2024-06-03
CAMP_0086,Google Ads,12275.4,897018,43946,5248,15287.25,2024-06-04
CAMP_0087,Google Ads,13181.94,1714885,76193,10903,17806.67,2024-06-06
CAMP_0088,Google Ads,15854.33,1068061,46097,3421,20057.67,2024-06-08
CAMP_0089,Email,5293.77,683900,30923,5569,8245.78,2024-06-10
CAMP_0090,Instagram,10896.1,990089,51313,3588,12819.75,2024-06-12
CAMP_0091,Instagram,3556.94,349090,10194,846,4018.57,2024-06-14
CAMP_0092,Google Ads,11942.41,1514201,46839,5940,13344.85,2024-06-15
CAMP_0093,Instagram,6677.1,573796,39203,3603,7524.13,2024-06-17
CAMP_0094,Instagram,7985.27,801438,34638,1946,9966.16,2024-06-19
CAMP_0095,Google Ads,14825.06,1247477,78226,5385,17640.97,2024-06-21
CAMP_0096,Instagram,12213.43,1581752,81816,4478,15530.84,2024-06-23
CAMP_0097,TikTok,7776.7,1135064,63798,5824,7527.39,2024-06-25
CAMP_0098,Facebook,14239.16,1194283,58290,4134,16303.0,2024-06-26
CAMP_0099,Facebook,13718.47,2015716,80783,7785,32257.73,2024-06-28
CAMP_0100,Google Ads,17233.2,1171483,50218,4982,23303.16,2024-06-30
CAMP_0101,Email,4301.82,323709,20673,2933,5939.35,2024-07-02
CAMP_0102,Google Ads,9787.58,799137,46173,4444,11588.88,2024-07-04
CAMP_0103,Email,4024.12,357416,23387,3399,6371.98,2024-07-06
CAMP_0104,Facebook,14853.6,1143654,43996,3064,18736.36,2024-07-07
CAMP_0105,Google Ads,19599.14,1320622,63572,5790,28771.68,2024-07-09
CAMP_0106,TikTok,5382.11,881627,51078,2202,4371.36,2024-07-11
CAMP_0107,Instagram,3232.13,273990,8199,899,3451.59,2024-07-13
CAMP_0108,Email,8464.58,1268988,61369,8795,12898.91,2024-07-15
CAMP_0109,Instagram,4505.14,665920,28461,2206,4580.28,2024-07-17
CAMP_0110,Instagram,8264.11,562527,22680,2685,8383.01,2024-07-18
CAMP_0111,Google Ads,16718.09,2307724,95157,9901,17096.56,2024-07-20
CAMP_0112,Instagram,7059.61,512509,22369,1739,7355.02,2024-07-22
CAMP_0113,TikTok,9630.5,916441,55752,3705,7995.77,2024-07-24
CAMP_0114,Instagram,13094.35,1314858,42723,3402,14843.34,2024-07-26
CAMP_0115,Google Ads,1000.0,91540,3322,299,1406.62,2024-07-28
CAMP_0116,TikTok,3081.81,223541,12211,999,3440.24,2024-07-29
CAMP_0117,Facebook,13622.47,1018873,46002,4661,16692.9,2024-07-31
CAMP_0118,Instagram,7727.83,559634,26194,2269,8670.68,2024-08-02
CAMP_0119,Google Ads,11552.3,876524,43781,4403,29764.42,2024-08-04
